曲目ID,曲名,别名,,,,,,,,,,,,,
694,Blaster Heaven,,,,,,,,,,,,,,
695,ハートアタック,心脏病,心攻击,,,,,,,,,,,,
696,Summer is over,,,,,,,,,,,,,,
697,folern,佛冷,,,,,,,,,,,,,
698,2DVenture,,,,,,,,,,,,,,
699,ぜったい！昇天★鎮魂歌♂,,,,,,,,,,,,,,
700,夕焼けのRed Parade,夕烧,,,,,,,,,,,,,
701,StufeStern,ss,,,,,,,,,,,,,
702,スピカの天秤,天平,,,,,,,,,,,,,
703,涙色メモリア,,,,,,,,,,,,,,
704,Magic,,,,,,,,,,,,,,
705,男装女形表裏一体発狂小娘の詐称疑惑と苦悩と情熱。,男娘,,,,,,,,,,,,,
706,コモリの怪物,,,,,,,,,,,,,,
707,中学2年生のアンドロイド,,,,,,,,,,,,,,
708,Life,,,,,,,,,,,,,,
710,Solstånd,,,,,,,,,,,,,,
711,Sqlupp,色情撸屁屁,,,,,,,,,,,,,
712,Climax,高潮,魔男,,,,,,,,,,,,
713,larva,拉瓦,,,,,,,,,,,,,
715,CYCLES,,,,,,,,,,,,,,
716,夢花火,,,,,,,,,,,,,,
717,FEEL the BEATS,,,,,,,,,,,,,,
720,ロキ,roki,,,,,,,,,,,,,
721,Innocent Truth,,,,,,,,,,,,,,
722,CITRUS MONSTER,橘子怪兽,橘子,,,,,,,,,,,,
729,サヨナラフリーウェイ,,,,,,,,,,,,,,
730,Ai Nov,,,,,,,,,,,,,,
731,エンジェデビ,,,,,,,,,,,,,,
732,Servant of Love,,,,,,,,,,,,,,
733,アイリちゃんは暗黒魔導士!,,,,,,,,,,,,,,
734,電光石火,电光石火,电光火石,,,,,,,,,,,,
735,strelitzia,,,,,,,,,,,,,,
736,サヨナラチェーンソー,再见了电锯,,,,,,,,,,,,,
737,Seyana. ～何でも言うことを聞いてくれるアカネチャン～,琴叶茜,,,,,,,,,,,,,
738,はやくそれになりたい！,音街鳗,,,,,,,,,,,,,
739,ちがう!!!,不对的,,,,,,,,,,,,,
740,雨とペトラ,雨与佩特拉,,,,,,,,,,,,,
741,あうんどばいみー,aund by me,,,,,,,,,,,,,
742,White Traveling Girl,,,,,,,,,,,,,,
743,トランスダンスアナーキー,trance dance anarchy,,,,,,,,,,,,,
744,ゴールドビジョン,gold vision,,,,,,,,,,,,,
745,【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,,,,,,,,,,,,,,
746,Ever green Never end,,,,,,,,,,,,,,
747,咲かせよ 沸かせよ バンバンBURN！,,,,,,,,,,,,,,
749,Fracture Ray,骨折光,,,,,,,,,,,,,
750,Axium Crisis,ac,,,,,,,,,,,,,
751,Grievous Lady,病女,,,,,,,,,,,,,
752,CO5M1C R4ILR0AD,星铁,cosmic railroad,星穹铁道,,,,,,,,,,,
753,Pure Ruby,真红,纯红,,,,,,,,,,,,
754,一世嬉遊曲‐ディヴェルティメント‐,,,,,,,,,,,,,,
755,恋のチャイム,,,,,,,,,,,,,,
756,逃げろ！サテライトキャンパス！！,,,,,,,,,,,,,,
757,THE BRASS OF GOODSPEED!!,,,,,,,,,,,,,,
760,カゲロウデイズ,阳炎眩乱,阳炎,,,,,,,,,,,,
761,妄想感傷代償連盟,妄想感伤代偿联盟,,,,,,,,,,,,,
762,Everlasting Today,et,九条枫,大长今,,,,,,,,,,,
763,Distance,,,,,,,,,,,,,,
764,Outlaw's Lullaby,如龙,,,,,,,,,,,,,
765,The Pursuit of Speed,,,,,,,,,,,,,,
766,光線チューニング ～なずな妄想海フェスイメージトレーニングVer.～,,,,,,,,,,,,,,
768,39,,,,,,,,,,,,,,
771,Funny Funky Freaky,,,,,,,,,,,,,,
772,Pangaea,泛大陆,,,,,,,,,,,,,
773,ZEUS,宙斯,,,,,,,,,,,,,
774,Agitation！,,,,,,,,,,,,,,
775,暗晦にハイライト,暗晦,晦暗,,,,,,,,,,,,
776,8-EM,ATM,8em,,,,,,,,,,,,
777,Killing Rhythm,杀节奏,KR,,,,,,,,,,,,
780,METEOR,,,,,,,,,,,,,,
781,ワールズエンド・ダンスホール,末世舞厅,世末舞厅,,,,,,,,,,,,
782,Worlds End,,,,,,,,,,,,,,
783,Shout Our Evidence!,,,,,,,,,,,,,,
784,YURUSHITE,逢坂茜上桌,嬲你妈妈别,回娄底,,,,,,,,,,,
785,ユメキキョウ,,,,,,,,,,,,,,
786,Black Swan Lake,黑天鹅,黑天鹅湖,,,,,,,,,,,,
787,GIGA DRIVE,千兆驱动器,,,,,,,,,,,,,
788,Rebellion,reb,反叛,,,,,,,,,,,,
791,Doll Judgment,,,,,,,,,,,,,,
792,お嫁にしなさいっ！,,,,,,,,,,,,,,
793,待チ人ハ来ズ。,,,,,,,,,,,,,,
795,命ばっかり,只为生命,,,,,,,,,,,,,
796,テオ,将手,,,,,,,,,,,,,
797,ハイセンスナンセンス,黑白初音,,,,,,,,,,,,,
798,デンパラダイム,电波模范,,,,,,,,,,,,,
799,星の器～STAR OF ANDROMEDA,星之器,星器,,,,,,,,,,,,
802,STARTLINER,,,,,,,,,,,,,,
803,Vibrant Verve,vv,,,,,,,,,,,,,
804,燃えてもエンジョイ！宛城、炎上！！,小炎上,,,,,,,,,,,,,
806,水晶世界 ～Fracture～,,,,,,,,,,,,,,
807,BlythE,我喜欢你，你喜欢我,,,,,,,,,,,,,
810,UNION,,,,,,,,,,,,,,
815,ただ君に晴れ,,,,,,,,,,,,,,
816,ナンセンス文学,无意义文学,,,,,,,,,,,,,
817,ロスタイムメモリー,回忆补时,,,,,,,,,,,,,
818,ヒバナ,火花,七八十,,,,,,,,,,,,
819,最終鬼畜妹フランドール・S,最终鬼畜妹,,,,,,,,,,,,,
821,"""STAR""T",,,,,,,,,,,,,,
822,Excalibur ～Revived resolution～,生煎2,圣剑2,,,,,,,,,,,,
823,Opfer,op,叩,原批,,,,,,,,,,,
824,神威 (NAOKI × ZPP MIX),神威remix,,,,,,,,,,,,,
825,サヴァイバル・キリング・メーカー,survival killing maker,,,,,,,,,,,,,
826,ツクヨミステップ,月读舞步,,,,,,,,,,,,,
827,【冒険】イングリット葛西降臨！【実況】,,,,,,,,,,,,,,
828,ハジマリノピアノ,最初的钢琴,,,,,,,,,,,,,
829,レーイレーイ,,,,,,,,,,,,,,
830,Surrogate Life,狗头人,,,,,,,,,,,,,
831,Nijirate Fanatics,,,,,,,,,,,,,,
832,Destr0yer,d0,,,,,,,,,,,,,
833,R.I.P.,rip,,,,,,,,,,,,,
834,せかいせいふく！ゆりあちゃん！,电音蝌蚪,,,,,,,,,,,,,
835,Trackless wilderness,无轨荒原,,,,,,,,,,,,,
836,absolute rightness,绝对正义,,,,,,,,,,,,,
837,Walzer für das Nichts,德二,德国人2,德2,,,,,,,,,,,
838,Lover's Trick,,,,,,,,,,,,,,
839,まごころのカスクルゥト,,,,,,,,,,,,,,
840,幾望の月,几望之月,,,,,,,,,,,,,
841,アカリがやってきたぞっ,绁星灯,akari来了哦,,,,,,,,,,,,
842,おねがいダーリン,拜托了亲爱的,,,,,,,,,,,,,
843,リンカーネイション,灵魂转生,reincarnation,,,,,,,,,,,,
844,太陽系デスコ,太阳系迪斯科,,,,,,,,,,,,,
845,▲MEW▲△MEW△CAKE,,,,,,,,,,,,,,
846,野良猫ハート,,,,,,,,,,,,,,
848,進捗どうですか？,,,,,,,,,,,,,,
849,単一指向性オーバーブルーム,,,,,,,,,,,,,,
850,《混乱》 ～ Muspell,混乱,,,,,,,,,,,,,
851,《理想》 ～ Cloudland,理想,,,,,,,,,,,,,
852,《逃避》 ～ The Deserter,逃避,,,,,,,,,,,,,
853,《最愛》 ～ Curse,最爱,,,,,,,,,,,,,
854,《運命》 ～ Ray of Hope,运命,,,,,,,,,,,,,
856,Star Divine,,,,,,,,,,,,,,
858,御旗のもとに,,,,,,,,,,,,,,
859,みなえをチェック！,,,,,,,,,,,,,,
860,とーきょー全域★アキハバラ？ (ver.にこる),,,,,,,,,,,,,,
863,AXION,,,,,,,,,,,,,,
865,MEGATON BLAST,百万吨爆炸,爆,,,,,,,,,,,,
867,結んで開いて羅刹と骸,,,,,,,,,,,,,,
868,ダブルラリアット,转圈歌,,,,,,,,,,,,,
869,＊ハロー、プラネット。,hello planet,,,,,,,,,,,,,
870,magnet,磁铁,,,,,,,,,,,,,
871,Pump!n,,,,,,,,,,,,,,
872,Endless Seeker,,,,,,,,,,,,,,
873,STRIPES feat. EL.J (2018 reinterpretation),,,,,,,,,,,,,,
874,Cosmic Magic Shooter,,,,,,,,,,,,,,
875,神楽,神乐,,,,,,,,,,,,,
876,Bad Apple!! feat.nomico (Nhato Remix),,,,,,,,,,,,,,
877,ヴンダーカンマー,,,,,,,,,,,,,,
878,Destination,,,,,,,,,,,,,,
879,Fidget Dancer,,,,,,,,,,,,,,
880,Megameteor,大陨石,,,,,,,,,,,,,
881,Trrricksters!!,trrr,二见鸟,,,,,,,,,,,,
882,Road without Road,,,,,,,,,,,,,,
885,Ladymade Star,,,,,,,,,,,,,,
886,Memory of Beach,,,,,,,,,,,,,,
887,SON OF SUN,日儿子,日之子,,,,,,,,,,,,
888,Rightfully,,,,,,,,,,,,,,
889,巫女みこナース・愛のテーマ,,,,,,,,,,,,,,
891,音弾超人ゴリライザー,音弹超人,,,,,,,,,,,,,
893,Giselle,鸡饲料,吉赛尔,,,,,,,,,,,,
894,7 colors*,,,,,,,,,,,,,,
895,Life is PIANO,生命是钢琴,命是琴,生命如琴,,,,,,,,,,,
896,タテマエと本心の大乱闘,大乱斗,椿批金曲,蓝原椿,,,,,,,,,,,
897,Zest of Blue,,,,,,,,,,,,,,
899,conflict(斉唱),彩绿公交车,,,,,,,,,,,,,
900,チョウの標本,标本,,,,,,,,,,,,,
901,Be A Shooter！～NORMAL BIG BONUS～,,,,,,,,,,,,,,
909,Catch the Wave,,,,,,,,,,,,,,
910,Auxesia,,,,,,,,,,,,,,
911,Sound Chimera,奇美拉,,,,,,,,,,,,,
912,やらなきゃいけないことばかり,,,,,,,,,,,,,,
913,エンドマークに希望と涙を添えて ～イロドリミドリアレンジ～,彩绿希望泪,,,,,,,,,,,,,
914,Secret Sleuth,,,,,,,,,,,,,,
915,Ghost Dance,,,,,,,,,,,,,,
916,モノクロトワイライト,,,,,,,,,,,,,,
917,シャッキーーン！！,,,,,,,,,,,,,,
918,《破滅》 ～ Rhapsody for The End,破灭,《》,猛料大杯,,,,,,,,,,,
921,メルティランドナイトメア,melty land nightmare,,,,,,,,,,,,,
922,絶対にチョコミントを食べるアオイチャン,琴叶葵,,,,,,,,,,,,,
923,だれかの心臓になれたなら,想要成为谁的心脏,,,,,,,,,,,,,
926,Kadenz,,,,,,,,,,,,,,
927,MARENOL,骂人,骂人ol,,,,,,,,,,,,
928,Day by Day CRiSiS Songs,,,,,,,,,,,,,,
929,Energy Booster ～ 上海紅茶館,,,,,,,,,,,,,,
930,7 days a week,,,,,,,,,,,,,,
931,メイドと血の懐中時計,,,,,,,,,,,,,,
932,ARROW RAIN feat. Ayame,,,,,,,,,,,,,,
933,悪戯センセーション,,,,,,,,,,,,,,
934,紅き魔汁、闇より降りて天啓の響きを導く,红魔汁,,,,,,,,,,,,,
935,ロング・スロー・アライブ,,,,,,,,,,,,,,
936,迷える薔薇に終わらぬ夜を,,,,,,,,,,,,,,
937,パームカルマ,,,,,,,,,,,,,,
938,Therapeutic Hoedown,,,,,,,,,,,,,,
939,バイオレンストリガー,暴力扳机,,,,,,,,,,,,,
940,KILLER B,,,,,,,,,,,,,,
941,アヤカシ,,,,,,,,,,,,,,
942,残響,,,,,,,,,,,,,,
943,クレイジー・ビート,crazy beat,,,,,,,,,,,,,
944,felys -final remix-,凤梨酥,,,,,,,,,,,,,
945,アフタースクール・エモーション,,,,,,,,,,,,,,
946,Jörqer,,,,,,,,,,,,,,
947,ちゅんちゅちゅチューン,,,,,,,,,,,,,,
948,ドルオタ忍道！楠子ノ巻,,,,,,,,,,,,,,
949,エキセントリックコンコン,,,,,,,,,,,,,,
950,大天使ユリア★降臨!,,,,,,,,,,,,,,
953,グリーンライツ・セレナーデ,绿灯小夜曲,绿灯,绿光小夜曲,,,,,,,,,,,
954,ブレス・ユア・ブレス,,,,,,,,,,,,,,
955,Jump for Joy,,,,,,,,,,,,,,
958,インドア系ならトラックメイカー,,,,,,,,,,,,,,
959,Blackmagik Blazing,黑魔法,,,,,,,,,,,,,
960,アイジャストロック,,,,,,,,,,,,,,
961,SUPER RESULT BEAT vol.1,,,,,,,,,,,,,,
962,檄！帝国華撃団＜新章＞,,,,,,,,,,,,,,
966,Jade Star,翠星石,,,,,,,,,,,,,
967,君と、この瞬間,,,,,,,,,,,,,,
968,We Are Us,,,,,,,,,,,,,,
969,U ARE,你是,,,,,,,,,,,,,
970,ハードコア・シンドローム,hardcore syndrome,打架第二名,hardcore,硬核,梅西哥拆机,,,,,,,,,
971,Hainuwele,华为,华为完了,,,,,,,,,,,,
972,宿星審判,宿星审判,宿,,,,,,,,,,,,
973,Perfect Shining!!,,,,,,,,,,,,,,
974,みんな Happy!!,,,,,,,,,,,,,,
975,Here We Go,黑喂狗,,,,,,,,,,,,,
976,P！P！P！P！がおー!!,,,,,,,,,,,,,,
978,Ascension to Heaven,飞升,飞升天堂,,,,,,,,,,,,
979,Sweet Requiem,红蓝灵梦,,,,,,,,,,,,,
980,レータイスパークEx,,,,,,,,,,,,,,
981,小悪魔の遊園地,小恶魔,,,,,,,,,,,,,
982,The Metaverse -First story of the SeelischTact-,元宇宙,the,元,meta,,,,,,,,,,
983,命に嫌われている,命嫌,,,,,,,,,,,,,
984,乙女解剖,,,,,,,,,,,,,,
987,フィクサー,fixer,,,,,,,,,,,,,
988,テリトリーバトル,领土战争,男娘,,,,,,,,,,,,
989,ROAD TO DREAM,,,,,,,,,,,,,,
990,絶対トキメキデリバリー,,,,,,,,,,,,,,
991,Yume no hajimari,,,,,,,,,,,,,,
992,Hey Yeah!!,,,,,,,,,,,,,,
993,B100d Hunter,寻血猎犬,b100,,,,,,,,,,,,
994,Last Celebration,lc,,,,,,,,,,,,,
997,Cyaegha,绿魔王,,,,,,,,,,,,,
998,Arcahv,arcaea,,,,,,,,,,,,,
999,AttraqtiA,大杯,att,,,,,,,,,,,,
1002,だから僕は音楽を辞めた,,,,,,,,,,,,,,
1004,ドラマツルギー,拟剧论,,,,,,,,,,,,,
1005,彗星ハネムーン,彗星蜜月,,,,,,,,,,,,,
1006,アンクローズ・ヒューマン,unclose human,,,,,,,,,,,,,
1007,ベノム,猛毒,,,,,,,,,,,,,
1008,ナイト・オブ・ナイツ (USAO Remix),兔夜骑,夜骑,usao夜骑,,,,,,,,,,,
1009,Alea jacta est!,黑人,,,,,,,,,,,,,
1010,Viyella's Tears,小圆,小圆射箭,,,,,,,,,,,,
1011,Paqqin (tpz Despair Remix),怕亲,,,,,,,,,,,,,
1012,Jack the GAME,,,,,,,,,,,,,,
1013,宙の隣,宙之邻,,,,,,,,,,,,,
1014,Just You,,,,,,,,,,,,,,
1015,Insane Gamemode,ig,,,,,,,,,,,,,
1016,Parad'ox,paradox,大佛冷,,,,,,,,,,,,
1017,ANU,阿牛,阿奴,,,,,,,,,,,,
1019,愛されなくても君がいる,,,,,,,,,,,,,,
1020,ぽかぽかの星,,,,,,,,,,,,,,
1021,スターナイトスノウ,星夜之雪,,,,,,,,,,,,,
1022,白ゆき,白雪,,,,,,,,,,,,,
1023,Shiny Smily Story,,,,,,,,,,,,,,
1025,疾走あんさんぶる,,,,,,,,,,,,,,
1026,しゅわスパ大作戦☆,,,,,,,,,,,,,,
1027,LOVE EAST,,,,,,,,,,,,,,
1028,MELtin' 17,,,,,,,,,,,,,,
1029,《狂乱》 ～ Cataclysm,狂乱,,,,,,,,,,,,,
1030,《投影》 ～ Oh My Baby Doll,投影,,,,,,,,,,,,,
1031,《信仰》 ～ Eudaimonia,信仰,,,,,,,,,,,,,
1032,《選別》 ～ Refuge,选别,,,,,,,,,,,,,
1033,《本能》 ～ ReCoda,,,,,,,,,,,,,,
1035,赤壁、大炎上！！,大炎上,,,,,,,,,,,,,
1037,Everything For A Reason,,,,,,,,,,,,,,
1038,Technicians High,科技高,,,,,,,,,,,,,
1039,恋はりんりん☆あーりんベル,,,,,,,,,,,,,,
1040,LINK LINK FEVER!!!,,,,,,,,,,,,,,
1041,DX超性能フルメタル少女,超纵连少女,,,,,,,,,,,,,
1042,SKYSCRAPER,,,,,,,,,,,,,,
1043,Lemegeton -little key of solomon-,所罗门,,,,,,,,,,,,,
1044,BUCHiGiRE Berserker,狂战士,,,,,,,,,,,,,
1048,ぷよぷよのうた ピコピコミックス,,,,,,,,,,,,,,
1055,Wizdomiot,wiz,,,,,,,,,,,,,
1056,なんかノイズにきこえる,,,,,,,,,,,,,,
1057,Over Heart,,,,,,,,,,,,,,
1058,the EmpErroR,皇帝,jmt,,,,,,,,,,,,
1059,"Good bye, Merry-Go-Round.",旋转木马,旋转木妈,,,,,,,,,,,,
1060,レイニーカラー・ウォーターカラー,,,,,,,,,,,,,,
1061,おいでよ！ 高須らいむランド,,,,,,,,,,,,,,
1062,Charlatan,,,,,,,,,,,,,,
1063,萌豚♥功夫♥大乱舞,,,,,,,,,,,,,,
1064,つっぱれ！にゃんきー魂,,,,,,,,,,,,,,
1065,"Athlete Killer ""Meteor""",akm,硅胶歌,鬼叫歌,,,,,,,,,,,
1066,Blazing:Storm,bs,,,,,,,,,,,,,
1067,アンドロイドガール,安卓少女,,,,,,,,,,,,,
1068,こちら、幸福安心委員会です。,幸福安心委员会,,,,,,,,,,,,,
1069,惑星ループ,行星环,,,,,,,,,,,,,
1070,ふぃーばー,,,,,,,,,,,,,,
1071,Earthquake Super Shock,,,,,,,,,,,,,,
1072,はたてのバッコイ殺人事件,,,,,,,,,,,,,,
1073,ポーカーフェイス,,,,,,,,,,,,,,
1074,ケ・セラ・セラ奇想曲,,,,,,,,,,,,,,
1075,C & B,c&b,,,,,,,,,,,,,
1076,月詠に鳴る,月咏,,,,,,,,,,,,,
1077,Blessed Rain,祝福雨,,,,,,,,,,,,,
1078,Elemental Ethnic,元素民族,,,,,,,,,,,,,
1079,X7124,,,,,,,,,,,,,,
1080,異世界かるてっと,,,,,,,,,,,,,,
1081,正体判明ネームレスガール,,,,,,,,,,,,,,
1082,ここからはじまるプロローグ。,,,,,,,,,,,,,,
1083,福宿音屋魂音泉,,,,,,,,,,,,,,
1084,BLACK ROSE,,,,,,,,,,,,,,
1085,BATTLE NO.1,打架第一名,,,,,,,,,,,,,
1086,祈 -我ら神祖と共に歩む者なり-,祈,老登,,,,,,,,,,,,
1087,GAME IS LIFE,,,,,,,,,,,,,,
1088,GranFatalité,,,,,,,,,,,,,,
1089,SWEET SHAKE!!,,,,,,,,,,,,,,
1090,What color...,,,,,,,,,,,,,,
1091,クロートーと星の観測者,观测者,星观测者,,,,,,,,,,,,
1092,真千年女王,,,,,,,,,,,,,,
1094,[CRYSTAL_ACCESS],水晶通道,雅迪电动车,,,,,,,,,,,,
1096,ベースラインやってる？笑,w,bassline,,,,,,,,,,,,
1098,董卓討つべし,董卓,,,,,,,,,,,,,
1099,セカイはまだ始まってすらいない,,,,,,,,,,,,,,
1100,TECHNOPOLIS 2085,2085,,,,,,,,,,,,,
1101,ハルシナイト,,,,,,,,,,,,,,
1102,Dark Diver,,,,,,,,,,,,,,
1103,Tattoo,,,,,,,,,,,,,,
1104,呪歌-JyuKa-,,,,,,,,,,,,,,
1105,再生不能,再生低能,,,,,,,,,,,,,
1106,アポカリプスに反逆の焔を焚べろ,反逆焰,,,,,,,,,,,,,
1107,AstrøNotes.,astronotes,,,,,,,,,,,,,
2000,No.1,,,,,,,,,,,,,,
2001,ザ・ライブ革命でSHOW！,,,,,,,,,,,,,,
2002,Yes! Party Time!!,,,,,,,,,,,,,,
2006,香水,,,,,,,,,,,,,,
2007,猫 ～THE FIRST TAKE ver.～,,,,,,,,,,,,,,
2008,インフェルノ,inferno,,,,,,,,,,,,,
2009,残酷な天使のテーゼ,残酷天使,,,,,,,,,,,,,
2010,夜に駆ける,夜驱,,,,,,,,,,,,,
2012,紅,,,,,,,,,,,,,,
2013,GO! GO! MANIAC,ggm,,,,,,,,,,,,,
2014,廻廻奇譚,回回奇谭,,,,,,,,,,,,,
2015,エクストラ・マジック・アワー,,,,,,,,,,,,,,
2016,名前のない怪物,,,,,,,,,,,,,,
2017,ヴィラン,villain,,,,,,,,,,,,,
2018,KING,哈哈你是王,,,,,,,,,,,,,
2019,電脳少女は歌姫の夢を見るか？,电脑少女,,,,,,,,,,,,,
2020,心予報,心预报,,,,,,,,,,,,,
2021,拝啓、桜舞い散るこの日に,敬启2,,,,,,,,,,,,,
2022,セカイ,sekai,,,,,,,,,,,,,
2023,ローリンガール,rolling girl,,,,,,,,,,,,,
2024,骸骨楽団とリリア,骸骨乐团,,,,,,,,,,,,,
2025,失敗作少女,失败作少女,,,,,,,,,,,,,
2026,高音厨音域テスト,,,,,,,,,,,,,,
2027,深海のリトルクライ feat. 土岐麻子,,,,,,,,,,,,,,
2028,ナイト・オブ・ナイツ (かめりあ’s“ワンス・アポン・ア・ナイト”Remix),花夜骑,夜骑,花骑,,,,,,,,,,,
2029,Bad Apple!! feat.nomico (REDALiCE Remix),,,,,,,,,,,,,,
2030,No Life Queen [DJ Command Remix],,,,,,,,,,,,,,
2031,"Little ""Sister"" Bitch",,,,,,,,,,,,,,
2032,キャプテン・ムラサのケツアンカー,,,,,,,,,,,,,,
2033,ホイホイ☆幻想ホロイズム,,,,,,,,,,,,,,
2034,A Site De La Rue,asite,狗叫歌,,,,,,,,,,,,
2035,XL TECHNO -More Dance Remix-,特大,,,,,,,,,,,,,
2036,CHAOS,超市,,,,,,,,,,,,,
2037,二次元ドリームフィーバー,,,,,,,,,,,,,,
2038,SINister Evolution,sin,,,,,,,,,,,,,
2039,]-[|/34<#!,怒蜂,乱码歌,绯蜂,noob,乱码,,,,,,,,,
2040,Crimson Phoenix,凤凰,,,,,,,,,,,,,
2041,8OROCHI,八岐大蛇,,,,,,,,,,,,,
2042,Satellite System ft.Diana Chiaki,卫星系统,卫星,,,,,,,,,,,,
2043,DAZZLING♡SEASON,,,,,,,,,,,,,,
2044,ミュージック・リボルバー,白左轮,,,,,,,,,,,,,
2045,REDRAVE,,,,,,,,,,,,,,
2046,BLUE ZONE,蓝区,蓝的区,,,,,,,,,,,,
2047,花たちに希望を,花希望,,,,,,,,,,,,,
2048,召しませ！Rock'n Roll Party,,,,,,,,,,,,,,
2049,脳天直撃,脑天直击,脑天,,,,,,,,,,,,
2050,封焔の135秒,封焰,135,激烈的打架场景,,,,,,,,,,,
2052,UltraNeon,,,,,,,,,,,,,,
2053,雪男,蜜雪冰城,雪王,,,,,,,,,,,,
2054,DDDD,4D,,,,,,,,,,,,,
2055,Ring,,,,,,,,,,,,,,
2056,Blazing Break,,,,,,,,,,,,,,
2057,Give me Love♡,,,,,,,,,,,,,,
2058,Crack,,,,,,,,,,,,,,
2059,STAR IN THE WORLD,,,,,,,,,,,,,,
2060,蜘蛛の糸,蜘蛛丝,长城,,,,,,,,,,,,
2061,コスモポップファンクラブ,cosmo pop fanclub,cpfc,巴拉巴巴拉,,,,,,,,,,,
2062,夢路拍子,,,,,,,,,,,,,,
2063,人生攻略☆Tips,,,,,,,,,,,,,,
2064,ピュグマリオンの咒文,,,,,,,,,,,,,,
2065,創世のコンツェルティーナ,,,,,,,,,,,,,,
2066,Fantasm,,,,,,,,,,,,,,
2067,Echoes,,,,,,,,,,,,,,
2068,Super Kitsch Mode,刻奇,,,,,,,,,,,,,
2069,Pre Paid Pog Punk Panic,,,,,,,,,,,,,,
2070,自分勝手Dazzling,,,,,,,,,,,,,,
2071,Utopithm,,,,,,,,,,,,,,
2072,妖怪ですから,,,,,,,,,,,,,,
2073,Glory Days,,,,,,,,,,,,,,
2074,Spiral Fortune,,,,,,,,,,,,,,
2075,キズナミュージック♪,kizuma music,kizuna,,,,,,,,,,,,
2076,FIRE BIRD,火鸟,烧鸡,,,,,,,,,,,,
2077,最強 the サマータイム!!!!!,,,,,,,,,,,,,,
2078,I believe what you said,,,,,,,,,,,,,,
2079,スーサイドパレヱド,决死行进,,,,,,,,,,,,,
2080,永遠にゲームで対戦したいキリタン,切蒲英,,,,,,,,,,,,,
2081,アンヘル,,,,,,,,,,,,,,
2082,Get a Life！,,,,,,,,,,,,,,
2083,ロストワードクロニカル,,,,,,,,,,,,,,
2084,Yakumo >>JOINT STRUGGLE (2019 Update),八云,八雲,,,,,,,,,,,,
2085,全力ハッピーライフ,,,,,,,,,,,,,,
2086,明星ロケット,,,,,,,,,,,,,,
2087,神々が恋した幻想郷,幻想乡,,,,,,,,,,,,,
2089,Love & Justice,爱正义,癌症一,,,,,,,,,,,,
2090,《自戒》 ～ Paganelope,自戒,,,,,,,,,,,,,
2091,《紀律》 ～ As One,纪律,,,,,,,,,,,,,
2092,《種子》 ～ Set You Free,种子,,,,,,,,,,,,,
2093,《偏愛》 ～ Shattered Memories,偏爱,,,,,,,,,,,,,
2094,Limits,极限,,,,,,,,,,,,,
2095,天空カフェテリア,点兔,,,,,,,,,,,,,
2096,ヒバリ,,,,,,,,,,,,,,
2097,Say!ファンファーレ!,,,,,,,,,,,,,,
2098,Virtual to LIVE,,,,,,,,,,,,,,
2099,Don't Fight The Music,别打歌,,,,,,,,,,,,,
2100,Realize,realize,,,,,,,,,,,,,
2101,ラグトレイン,延误列车,,,,,,,,,,,,,
2102,幽霊東京,幽灵东京,,,,,,,,,,,,,
2103,ポジティブ・パレード,,,,,,,,,,,,,,
2105,Blueprint,,,,,,,,,,,,,,
2106,Kattobi舞高Riders,彩绿叮叮车,,,,,,,,,,,,,
2107,FLARE,,,,,,,,,,,,,,
2108,UTAKATA,,,,,,,,,,,,,,
2109,Rule the World!!,逢坂茜统治世界,,,,,,,,,,,,,
2110,どうぶつ☆パラダイス,,,,,,,,,,,,,,
2111,Radiance,江江,江江比耶,,,,,,,,,,,,
2112,Lost Princess,,,,,,,,,,,,,,
2113,Mirage Game,,,,,,,,,,,,,,
2114,ルナティックレッドアイズ,,,,,,,,,,,,,,
2115,#FairyJoke,,,,,,,,,,,,,,
2116,NewStartでReadyGo!,,,,,,,,,,,,,,
2117,Qliphothgear,剑圣,,,,,,,,,,,,,
2118,SQUAD-Phvntom-,squad phvntom,,,,,,,,,,,,,
2119,parvorbital,,,,,,,,,,,,,,
2120,Inpaqq,,,,,,,,,,,,,,
2121,Strange Love,奇怪爱,,,,,,,,,,,,,
2122,Akasagarbha -reincarnate-,akasa,,,,,,,,,,,,,
2123,なだめスかし Negotiation（TVsize）,,,,,,,,,,,,,,
2124,88D,,,,,,,,,,,,,,
2125,カラッポ・ノンフィクション,,,,,,,,,,,,,,
2126,Tuk Tuk Boshi,土块,土块博士,,,,,,,,,,,,
2127,プナイプナイたいそう,噗奶噗奶,,,,,,,,,,,,,
2128,多重未来のカルテット -Quartet Theme-,,,,,,,,,,,,,,
2129,Starduster,,,,,,,,,,,,,,
2130,崩壊歌姫 -disruptive diva-,,,,,,,,,,,,,,
2131,マージナル,,,,,,,,,,,,,,
2132,ぽっぴっぽー,,,,,,,,,,,,,,
2133,The secret garden,,,,,,,,,,,,,,
2134,Iudicium “Apocalypsis Mix”,音击iud,小iud,,,,,,,,,,,,
2135,IMPACT,银趴,,,,,,,,,,,,,
2136,Long shot,,,,,,,,,,,,,,
2137,MEGALOVANIA,狂妄之人,,,,,,,,,,,,,
2138,NightTheater,夜剧院,,,,,,,,,,,,,
2139,圧　倒　的　存　在　感,压倒的存在感,,,,,,,,,,,,,
2140,ピアノ協奏曲第１番”蠍火”,歇火,蝎火,,,,,,,,,,,,
